label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_OPEN_train30_n120_evneg0p01_top1_ridge10,AVG_OPEN,30,120,-0.01,1,10.0,2063,439,439,427.8,9.74,161.7,21,20,6,2,6,2,0.3333
AVG_OPEN_train30_n240_evneg0p01_top1_ridge10,AVG_OPEN,30,240,-0.01,1,10.0,2063,439,439,427.8,9.74,161.7,21,20,6,2,6,2,0.3333
AVG_OPEN_train30_n120_evneg0p01_top3_ridge35,AVG_OPEN,30,120,-0.01,3,35.0,2063,940,940,914.0,9.72,221.4,22,19,6,2,6,2,0.3333
AVG_OPEN_train30_n240_evneg0p01_top3_ridge35,AVG_OPEN,30,240,-0.01,3,35.0,2063,940,940,914.0,9.72,221.4,22,19,6,2,6,2,0.3333
AVG_OPEN_train42_n120_ev0p0_top3_ridge35,AVG_OPEN,42,120,0.0,3,35.0,2063,931,931,900.1,9.67,198.1,24,17,6,2,6,2,0.3333
AVG_OPEN_train42_n240_ev0p0_top3_ridge35,AVG_OPEN,42,240,0.0,3,35.0,2063,931,931,900.1,9.67,198.1,24,17,6,2,6,2,0.3333
AVG_OPEN_train42_n120_evneg0p01_top3_ridge35,AVG_OPEN,42,120,-0.01,3,35.0,2063,944,944,903.7,9.57,221.4,24,17,6,2,6,2,0.3333
AVG_OPEN_train42_n240_evneg0p01_top3_ridge35,AVG_OPEN,42,240,-0.01,3,35.0,2063,944,944,903.7,9.57,221.4,24,17,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p04_top1_ridge10,AVG_OPEN,30,120,0.04,1,10.0,2063,414,414,393.6,9.51,164.1,24,17,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p04_top1_ridge10,AVG_OPEN,30,240,0.04,1,10.0,2063,414,414,393.6,9.51,164.1,24,17,6,2,6,2,0.3333
AVG_OPEN_train30_n120_ev0p0_top1_ridge10,AVG_OPEN,30,120,0.0,1,10.0,2063,435,435,412.0,9.47,161.7,21,20,6,2,6,2,0.3333
AVG_OPEN_train30_n240_ev0p0_top1_ridge10,AVG_OPEN,30,240,0.0,1,10.0,2063,435,435,412.0,9.47,161.7,21,20,6,2,6,2,0.3333
AVG_OPEN_train42_n120_ev0p0_top1_ridge10,AVG_OPEN,42,120,0.0,1,10.0,2063,439,439,407.5,9.28,161.7,24,17,6,2,6,2,0.3333
